repetition,sample_index,true_label,predicted_label,model_used,student_confidence,teacher_escalated,classification_confidence,attack_probability,cascade_threshold
1,0,DoS_Hulk,DoS_Hulk,student,0.9999998807907104,False,0.9999998807907104,1.0,0.9
1,1,BENIGN,BENIGN,student,0.9998170733451843,False,0.9998170733451843,0.00018292665481567383,0.9
1,2,DoS_GoldenEye,DoS_GoldenEye,student,0.9874316453933716,False,0.9874316453933716,0.9875714778900146,0.9
1,3,BENIGN,BENIGN,student,1.0,False,1.0,0.0,0.9
1,4,DoS_Hulk,DoS_Hulk,student,0.9999980926513672,False,0.9999980926513672,0.9999995827674866,0.9
1,5,DDoS_LOIC_HTTP,DDoS_LOIC_HTTP,student,0.9999860525131226,False,0.9999860525131226,0.9999918937683105,0.9
1,6,BENIGN,BENIGN,student,0.999998927116394,False,0.999998927116394,1.0728836059570312e-06,0.9
1,7,DDoS_LOIC_HTTP,DDoS_LOIC_HTTP,student,0.9999872446060181,False,0.9999872446060181,0.9999871850013733,0.9
1,8,BENIGN,BENIGN,student,0.9996564388275146,False,0.9996564388275146,0.00034356117248535156,0.9
1,9,DoS_Hulk,DoS_Hulk,student,0.9999996423721313,False,0.9999996423721313,0.9999999403953552,0.9
1,10,BENIGN,BENIGN,student,0.9999995231628418,False,0.9999995231628418,4.76837158203125e-07,0.9
1,11,DoS_Hulk,DoS_Hulk,student,0.9999971389770508,False,0.9999971389770508,0.9999971389770508,0.9
1,12,DoS_Hulk,DoS_Hulk,student,0.9999790191650391,False,0.9999790191650391,0.9999999403953552,0.9
1,13,BENIGN,BENIGN,student,0.9997463822364807,False,0.9997463822364807,0.0002536177635192871,0.9
1,14,BENIGN,BENIGN,student,0.9999992847442627,False,0.9999992847442627,7.152557373046875e-07,0.9
1,15,BENIGN,BENIGN,student,0.9999995231628418,False,0.9999995231628418,4.76837158203125e-07,0.9
1,16,BENIGN,BENIGN,student,0.999268114566803,False,0.999268114566803,0.0007318854331970215,0.9
1,17,BENIGN,DoS_GoldenEye,teacher,0.8555673956871033,True,0.9544587135314941,0.9729392528533936,0.9
1,18,DoS_Hulk,DoS_Hulk,student,1.0,False,1.0,1.0,0.9
1,19,DoS_Slowloris,DoS_Slowloris,student,0.9999977350234985,False,0.9999977350234985,0.9999995231628418,0.9
