true_class,true_class_name,predicted_class,predicted_class_name,classification_confidence,attack_probability,evidence_attack,evidence_confidence,evidence_class,risk_score,decision
0,BENIGN,0,BENIGN,0.9981816,0.0018184185,0.0018184185,0.9981816,0.0,0.2506364583969116,ALLOW
0,BENIGN,0,BENIGN,0.9989029,0.0010970831,0.0010970831,0.9989029,0.0,0.25038397312164307,ALLOW
0,BENIGN,0,BENIGN,0.9989196,0.0010803938,0.0010803938,0.9989196,0.0,0.2503781318664551,ALLOW
0,BENIGN,0,BENIGN,0.99971896,0.0002810359,0.0002810359,0.99971896,0.0,0.2500983476638794,ALLOW
1,DDoS_LOIC_HTTP,1,DDoS_LOIC_HTTP,0.99979407,0.99993634,0.99993634,0.99979407,1.0,0.999910318851471,BLOCK
3,DoS_Hulk,3,DoS_Hulk,0.9995881,0.99983734,0.99983734,0.9995881,1.0,0.9997994542121887,BLOCK
0,BENIGN,0,BENIGN,0.99981445,0.00018554926,0.00018554926,0.99981445,0.0,0.2500649392604828,ALLOW
0,BENIGN,0,BENIGN,0.99984145,0.00015854836,0.00015854836,0.99984145,0.0,0.2500554919242859,ALLOW
1,DDoS_LOIC_HTTP,1,DDoS_LOIC_HTTP,0.99965286,0.99977446,0.99977446,0.99965286,1.0,0.9997779369354248,BLOCK
1,DDoS_LOIC_HTTP,1,DDoS_LOIC_HTTP,0.999616,0.9997521,0.9997521,0.999616,1.0,0.9997552871704102,BLOCK
0,BENIGN,0,BENIGN,0.99978274,0.00021725893,0.00021725893,0.99978274,0.0,0.2500760555267334,ALLOW
0,BENIGN,0,BENIGN,0.99965775,0.00034224987,0.00034224987,0.99965775,0.0,0.25011977553367615,ALLOW
3,DoS_Hulk,3,DoS_Hulk,0.9998104,0.9999422,0.9999422,0.9998104,1.0,0.9999179482460022,BLOCK
3,DoS_Hulk,3,DoS_Hulk,0.9998173,0.99993527,0.99993527,0.9998173,1.0,0.9999155044555664,BLOCK
2,DoS_GoldenEye,2,DoS_GoldenEye,0.99917513,0.9998392,0.9998392,0.99917513,1.0,0.9996972918510437,BLOCK
3,DoS_Hulk,3,DoS_Hulk,0.99979216,0.9999294,0.9999294,0.99979216,1.0,0.9999057292938233,BLOCK
4,DoS_Slowhttptest,4,DoS_Slowhttptest,0.97727656,0.9818484,0.9818484,0.97727656,1.0,0.9834282040596009,BLOCK
3,DoS_Hulk,3,DoS_Hulk,0.9997881,0.99993044,0.99993044,0.9997881,1.0,0.9999053120613098,BLOCK
3,DoS_Hulk,3,DoS_Hulk,0.9994923,0.9997866,0.9997866,0.9994923,1.0,0.9997450351715088,BLOCK
5,DoS_Slowloris,5,DoS_Slowloris,0.9915706,0.99556375,0.99556375,0.9915706,1.0,0.9952309370040894,BLOCK
1,DDoS_LOIC_HTTP,1,DDoS_LOIC_HTTP,0.9997627,0.9999311,0.9999311,0.9997627,1.0,0.9998993515968323,BLOCK
3,DoS_Hulk,3,DoS_Hulk,0.9997993,0.99994504,0.99994504,0.9997993,1.0,0.9999168753623963,BLOCK
0,BENIGN,0,BENIGN,0.99984455,0.00015544891,0.00015544891,0.99984455,0.0,0.25005441904067993,ALLOW
0,BENIGN,0,BENIGN,0.99365497,0.0063450336,0.0063450336,0.99365497,0.0,0.2522207498550415,ALLOW
0,BENIGN,0,BENIGN,0.9998299,0.00017011166,0.00017011166,0.9998299,0.0,0.2500595450401306,ALLOW
1,DDoS_LOIC_HTTP,1,DDoS_LOIC_HTTP,0.99942905,0.99965924,0.99965924,0.99942905,1.0,0.9996528267860413,BLOCK
4,DoS_Slowhttptest,4,DoS_Slowhttptest,0.99650794,0.9975699,0.9975699,0.99650794,1.0,0.9976689457893372,BLOCK
3,DoS_Hulk,3,DoS_Hulk,0.99981445,0.99994093,0.99994093,0.99981445,1.0,0.9999181866645813,BLOCK
1,DDoS_LOIC_HTTP,1,DDoS_LOIC_HTTP,0.9996124,0.99991846,0.99991846,0.9996124,1.0,0.9998541712760926,BLOCK
0,BENIGN,0,BENIGN,0.9944938,0.0055062175,0.0055062175,0.9944938,0.0,0.2519271671772003,ALLOW
